# TASK-003 Quark Windows package avatar tree
Date: 2026-08-06
Purpose: Enumerate official Windows package avatar directory to determine whether file-by-file download is feasible; no cookies, stoken or share_fid_token values are recorded.

token_status=200 code=0 message=ok stoken_length=44 stoken=REDACTED
## Listing /整合包/v2.0.1/data/avatars/wav2lip256_avatar1 fid=49258f270e4d46b78f5ea513f2a83e52
page=1 status=200 code=0 count=3 total=3
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs dir=True size=0 fid=af25e0262ebf492095a6d52f2aeca9cf token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/face_imgs dir=True size=0 fid=6e91b851daa741f5975fc9d469ffd3f0 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/coords.pkl dir=False size=4132 fid=891e15d6955f4105b70f97d6f8128d5c token_present=True

## Listing /整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs fid=af25e0262ebf492095a6d52f2aeca9cf
page=1 status=200 code=0 count=50 total=294
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000293.png dir=False size=304673 fid=8750d908ce47410db94be7bc9c8ed428 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000289.png dir=False size=304360 fid=02aaa3e4a6894a94b35f7d99ff29e7f0 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000287.png dir=False size=304287 fid=f454cf43655b4c0bb94961d20e74eab4 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000292.png dir=False size=305523 fid=58c9927ea5814829994527c8ceaadd4f token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000288.png dir=False size=305779 fid=b4ce13a42804452ba5ad48ae2aaa0595 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000291.png dir=False size=304075 fid=6d71e5f8b251496c9f4eeef720cd6007 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000290.png dir=False size=304133 fid=462a0fc0715543dc848b1a1b3de47ceb token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000282.png dir=False size=304384 fid=5c31a38bf73145628a50dc4489d81d50 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000280.png dir=False size=303128 fid=d65104e9171d42f1ab554c6e51a3a96f token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000278.png dir=False size=300447 fid=bc0a343ac4c64f9bb168a0d5b1203ea1 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000286.png dir=False size=304697 fid=93de39f441e140dd899cb3be0307513a token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000285.png dir=False size=302835 fid=4743cfe5a82a42f896f8e51985b63d80 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000284.png dir=False size=303578 fid=68b1acdd9ae34b6c9b7b6cea0af6374c token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000283.png dir=False size=303310 fid=c5591db161cd48e5a4c95b5e10efb119 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000279.png dir=False size=300968 fid=2ee263f43ef64fcf84f444ef65e17f09 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000281.png dir=False size=302140 fid=a35e0a0c3d0f4267b6589489bc6a49ee token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000277.png dir=False size=301066 fid=73b3051565514074b51666b5bbadc33f token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000276.png dir=False size=301733 fid=5f207caf03f845a7beb23e2f1836781d token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000274.png dir=False size=299516 fid=f966f104eb5041cb852035543cec0159 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000271.png dir=False size=295088 fid=a006503d580e418cbcdbe16f6911f476 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000275.png dir=False size=299831 fid=cc4ae35b4cf04173b51ca8eb0c24feca token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000273.png dir=False size=297212 fid=8ea72455edc140edace7b8bfe4289e8a token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000270.png dir=False size=295970 fid=bf6bd5864c8848c0ab854abae3a432a2 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000269.png dir=False size=294501 fid=6606486e5482441b9603753f73d3105a token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000272.png dir=False size=295813 fid=35fbdd034437472596c7fc7c6ec42e09 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000261.png dir=False size=290497 fid=39b7cceef328489781846402d7d06a47 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000265.png dir=False size=293215 fid=bac9db2042d44b4ea1ac8ccc6e59fb57 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000263.png dir=False size=292038 fid=7a0bc6a0c345476f9786312489452269 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000260.png dir=False size=291033 fid=9af38443881f48b2899d9f7459e5a5a3 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000264.png dir=False size=293482 fid=f435bce3ee9b4ed985b5d64e666a3827 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000268.png dir=False size=294155 fid=f4dd33f5fcbc477683c895eaab9f7b46 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000266.png dir=False size=294130 fid=c23b2bcae96f420daa746207c4b54f1d token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000262.png dir=False size=294097 fid=dc6d960cdc2848788db7cd74e4f327ca token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000267.png dir=False size=294374 fid=712c1bfc765c414ca75d34f3a8fbd333 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000255.png dir=False size=286925 fid=7bad4425647a4fc2bfc01173929616b3 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000256.png dir=False size=286080 fid=8f690e1ecf874f08a20d939cac0611fa token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000257.png dir=False size=288721 fid=8c73956a015f4c118a6b00f7d5268acf token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000258.png dir=False size=288918 fid=98d2bbe39fbe4684b11c5019dd90f91d token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000254.png dir=False size=286146 fid=a014471ea1cb4cc996fd407a41a9780f token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000252.png dir=False size=285496 fid=800b0167568f4461831aa42ed51fd0d0 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000259.png dir=False size=289485 fid=130b25e54f35439c831f10cc821f370c token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000253.png dir=False size=285434 fid=6ad0e8ab46e34615994f98804c5216dd token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000251.png dir=False size=283620 fid=b5ec71b29a1743e9a2f94e3c1ca18dd4 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000249.png dir=False size=300995 fid=c3b25684790d4e88946eb0df6628c9e1 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000243.png dir=False size=301650 fid=fb1ea02521c2420aa7bdfc7521906b13 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000248.png dir=False size=298521 fid=934b6ef4c1b24a528a22b1edb7c08905 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000245.png dir=False size=302005 fid=efa89f2f7abf40cdbe9904d14a4d0555 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000250.png dir=False size=280889 fid=7e4bb761270a4723878f442b74d01859 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000242.png dir=False size=302245 fid=23c24580116a4870b2be98492f34f363 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000246.png dir=False size=300988 fid=12adaf399ce841babba6cd2144d74d3b token_present=True
page=2 status=200 code=0 count=50 total=294
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000247.png dir=False size=300346 fid=483b38b24d4f4c089193f04a9aecaed1 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000244.png dir=False size=302870 fid=c3a41dab9b464d5aa6521dd27ae96a2b token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000237.png dir=False size=314959 fid=cde226d7885a45ac87d97231d6e2dfca token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000241.png dir=False size=308491 fid=1d50a89762774179b0b08f93c3ab3034 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000234.png dir=False size=319585 fid=b07731f3e6fd4f8681ebb73c80e6b738 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000239.png dir=False size=310971 fid=b6b331f384634b8a99bafaee992a8965 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000235.png dir=False size=318765 fid=0a8ac3544c9d4e9cbc2d984b6dfe89c7 token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000236.png dir=False size=316508 fid=2cf0e05bd5d349bc937bd59903201dcb token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000240.png dir=False size=309076 fid=377fca508230450dbdb96f05ec4b788b token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000238.png dir=False size=314597 fid=ea0572912ab346459aad50a853024f4b token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000233.png dir=False size=317661 fid=52f827cd9f8c471abe66d0492114697e token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000226.png dir=False size=317172 fid=1056470af2eb4a41995035bcfda442bb token_present=True
item path=/整合包/v2.0.1/data/avatars/wav2lip256_avatar1/full_imgs/00000231.png dir=False size=315896 fid=99eebdc0ed1c44ed83cd1e45d70d7bfb token_present=True
